datetime,open,high,low,close,volume
2024-01-19 17:00:00,40395.00,41250.00,40280.00,41239.57,4450.93
2024-01-19 18:00:00,41239.57,41979.00,41006.61,41808.08,4197.78
2024-01-19 19:00:00,41808.08,41929.65,41575.40,41814.27,2480.83
2024-01-19 20:00:00,41814.27,42196.86,41517.60,41620.00,4230.96
2024-01-19 21:00:00,41619.99,41791.70,41552.35,41633.83,1610.95
2024-01-19 22:00:00,41633.83,41735.61,41532.89,41687.10,890.03
2024-01-19 23:00:00,41687.10,41721.10,41613.67,41659.03,816.72
2024-01-20 00:00:00,41659.03,41679.52,41456.30,41482.29,1037.44
2024-01-20 01:00:00,41482.28,41700.00,41482.28,41655.42,792.03
2024-01-20 02:00:00,41655.42,41662.74,41538.00,41621.23,594.98
2024-01-20 03:00:00,41621.23,41649.61,41524.00,41634.65,561.76
2024-01-20 04:00:00,41634.64,41659.03,41578.63,41607.20,436.83
2024-01-20 05:00:00,41607.19,41646.46,41564.81,41627.63,453.58
2024-01-20 06:00:00,41627.62,41698.71,41615.92,41672.02,582.85
2024-01-20 07:00:00,41672.02,41774.00,41644.72,41650.95,638.34
2024-01-20 08:00:00,41650.95,41668.66,41522.38,41590.00,1054.68
2024-01-20 09:00:00,41590.01,41643.06,41459.02,41521.10,735.91
2024-01-20 10:00:00,41521.10,41616.43,41495.81,41543.31,640.83
2024-01-20 11:00:00,41543.30,41619.00,41475.69,41580.83,674.93
2024-01-20 12:00:00,41580.82,41700.00,41540.00,41620.01,645.32
2024-01-20 13:00:00,41620.00,41685.77,41584.68,41633.12,653.88
2024-01-20 14:00:00,41633.11,41646.00,41491.16,41542.99,795.56
2024-01-20 15:00:00,41542.98,41688.53,41478.00,41570.11,813.88
2024-01-20 16:00:00,41570.10,41645.81,41537.84,41563.66,625.86
2024-01-20 17:00:00,41563.66,41625.00,41543.61,41591.11,495.01
2024-01-20 18:00:00,41591.10,41634.19,41526.36,41606.17,565.62
2024-01-20 19:00:00,41606.16,41684.94,41605.01,41632.96,456.73
2024-01-20 20:00:00,41632.97,41822.99,41617.58,41751.36,829.62
2024-01-20 21:00:00,41751.37,41872.56,41729.90,41733.85,726.76
2024-01-20 22:00:00,41733.85,41819.99,41669.90,41781.53,478.93
2024-01-20 23:00:00,41781.54,41809.87,41610.54,41696.04,632.65
2024-01-21 00:00:00,41696.05,41727.00,41629.87,41645.98,405.51
2024-01-21 01:00:00,41645.98,41722.14,41633.80,41666.82,411.50
2024-01-21 02:00:00,41666.83,41719.36,41652.29,41699.80,406.21
2024-01-21 03:00:00,41699.80,41730.00,41661.74,41680.82,377.67
2024-01-21 04:00:00,41680.83,41685.55,41651.74,41673.41,258.81
2024-01-21 05:00:00,41673.41,41691.11,41628.46,41628.47,305.06
2024-01-21 06:00:00,41628.46,41654.99,41564.29,41597.66,349.77
2024-01-21 07:00:00,41597.66,41669.94,41587.27,41648.51,284.99
2024-01-21 08:00:00,41648.50,41710.00,41648.50,41663.96,423.86
2024-01-21 09:00:00,41663.96,41747.53,41663.96,41747.53,430.36
2024-01-21 10:00:00,41747.52,41826.97,41709.99,41785.99,717.33
2024-01-21 11:00:00,41786.00,41795.61,41686.00,41719.89,401.38
2024-01-21 12:00:00,41719.90,41821.10,41700.91,41735.99,509.29
2024-01-21 13:00:00,41735.99,41862.02,41735.98,41859.53,691.91
2024-01-21 14:00:00,41859.52,41881.39,41757.25,41787.50,630.52
2024-01-21 15:00:00,41787.49,41860.00,41605.00,41656.28,978.43
2024-01-21 16:00:00,41656.27,41673.06,41525.00,41607.18,791.19
2024-01-21 17:00:00,41607.18,41695.07,41599.39,41678.00,481.67
2024-01-21 18:00:00,41677.99,41729.77,41627.00,41681.09,467.73
2024-01-21 19:00:00,41681.09,41720.00,41635.25,41719.40,360.44
2024-01-21 20:00:00,41719.39,41772.75,41618.68,41643.91,686.10
2024-01-21 21:00:00,41643.90,41811.10,41620.27,41785.91,419.96
2024-01-21 22:00:00,41785.90,41785.91,41620.23,41633.39,340.65
2024-01-21 23:00:00,41633.39,41676.78,41500.98,41580.33,599.80
2024-01-22 00:00:00,41580.32,41683.53,41467.58,41657.43,958.27
2024-01-22 01:00:00,41657.43,41689.65,41263.60,41363.37,1980.38
2024-01-22 02:00:00,41363.38,41426.03,41258.10,41317.98,824.53
2024-01-22 03:00:00,41317.97,41343.99,41058.22,41197.04,1431.50
2024-01-22 04:00:00,41197.04,41221.99,40768.00,40786.41,2024.90
2024-01-22 05:00:00,40786.41,41157.23,40684.00,41138.46,2043.09
2024-01-22 06:00:00,41138.47,41321.17,41009.16,41205.99,1603.69
2024-01-22 07:00:00,41205.99,41214.00,40978.63,41043.70,1048.82
2024-01-22 08:00:00,41043.70,41043.71,40761.87,40959.00,1986.47
2024-01-22 09:00:00,40958.99,41047.51,40610.00,40744.85,1725.51
